id,lon,lat,x,y,xp,yp
B,41.795661,-87.578945,1.549650,0.000000,172,1104
M,41.795652,-87.578918,2.529565,2.252852,520,1053
NW,41.795672,-87.578905,0.298730,3.313839,528,960
MHN,41.795671,-87.578918,0.419280,2.234332,433,984
SS,41.795637,-87.578869,4.159837,6.340062,1063,957
C1S,41.795631,-87.578837,4.802900,9.005561,1267,901
C1N,41.795674,-87.578838,0.027721,8.880529,1011,840
C2S,41.795632,-87.578800,4.664841,12.079807,1447,838
C2N,41.795674,-87.578800,0.000000,12.038862,1188,793
C3NC,41.795672,-87.578750,0.185658,16.196512,1377,747
C3SS,41.795635,-87.578755,4.298808,15.817015,1596,772
