id,lon,lat
lw1,41.803435,-87.581980
le1,41.803524,-87.581636
lw2,41.803615,-87.582069
le2,41.803707,-87.581707
wa0n,41.803335,-87.581871
wb0n,41.803350,-87.581836
wc0n,41.803357,-87.581799
ea0n,41.803412,-87.581710
eb0n,41.803417,-87.581671
wa1s,41.803407,-87.581901
wb1s,41.803425,-87.581867
wc1s,41.803434,-87.581828
ea1s,41.803490,-87.581743
eb1s,41.803497,-87.581705
wa1n,41.803430,-87.581912
wb1n,41.803450,-87.581879
wc1n,41.803459,-87.581841
ea1n,41.803517,-87.581755
eb1n,41.803524,-87.581718
wa2s,41.803510,-87.581948
wb2s,41.803529,-87.581915
wc2s,41.803538,-87.581879
ea2s,41.803591,-87.581791
eb2s,41.803598,-87.581752
wa2n,41.803536,-87.581962
wb2n,41.803553,-87.581928
wc2n,41.803563,-87.581891
ea2n,41.803620,-87.581805
eb2n,41.803625,-87.581765
wa3s,41.803612,-87.582000
wb3s,41.803631,-87.581968
wc3s,41.803640,-87.581930
ea3s,41.803694,-87.581843
eb3s,41.803704,-87.581805
wa3n,41.803637,-87.582014
wb3n,41.803658,-87.581982
wc3n,41.803667,-87.581944
ea3n,41.803722,-87.581858
eb3n,41.803731,-87.581819
wa4s,41.803714,-87.582055
wb4s,41.803730,-87.582024
wc4s,41.803741,-87.581986
ea4s,41.803791,-87.581896
eb4s,41.803806,-87.581861
wa4n,41.803738,-87.582071
wb4n,41.803757,-87.582038
wc4n,41.803765,-87.582000
ea4n,41.803820,-87.581913
eb4n,41.803831,-87.581876
